iter	RMSE
0	1.603485589
1	1.561522477
2	1.528738868
3	1.503102376
4	1.478551421
5	1.457400679
6	1.442420658
7	1.420313662
8	1.411150107
9	1.400396337
10	1.390282462
11	1.382992013
12	1.373219632
13	1.367164148
14	1.359614626
15	1.35054816
16	1.345370514
17	1.338850094
18	1.329597996
19	1.325727781
20	1.32043078
21	1.313235723
22	1.308782791
23	1.304032485
24	1.300002459
25	1.297225917
26	1.293179811
27	1.291114973
28	1.28461164
29	1.279937624
30	1.275094856
31	1.272246708
32	1.267482022
33	1.264707631
34	1.263823907
35	1.261121475
36	1.259241278
37	1.255836094
38	1.250886156
39	1.24695578
40	1.24438598
41	1.243704325
42	1.240386033
43	1.238428175
44	1.236192958
45	1.235311212
46	1.234568755
47	1.232276976
48	1.230622147
49	1.229045986
50	1.228071587
51	1.227251482
52	1.225602163
53	1.223751655
54	1.2206697
55	1.217586074
56	1.21613518
57	1.213488972
58	1.211402342
59	1.20603712
60	1.202185372
61	1.200327742
62	1.197145498
63	1.194792877
64	1.192534774
65	1.189613107
66	1.186934474
67	1.184347458
68	1.18093711
69	1.179496285
70	1.176067684
71	1.172820386
72	1.168721238
73	1.16528531
74	1.162391129
75	1.159804663
76	1.156369372
77	1.154504655
78	1.151678327
79	1.149826708
80	1.14677905
81	1.144428964
82	1.143027897
83	1.139761978
84	1.137259702
85	1.133154125
86	1.131740587
87	1.129048533
88	1.12754991
89	1.125630548
90	1.123101835
91	1.119885597
92	1.11631625
93	1.114688305
94	1.11342835
95	1.110305347
96	1.108571099
97	1.107547161
98	1.105539872
99	1.10327654
100	1.099617655
101	1.097786812
102	1.096635355
103	1.094131534
104	1.090598894
105	1.088689277
106	1.086839601
107	1.085262124
108	1.082950941
109	1.081354581
110	1.079266292
111	1.077399147
112	1.075374892
113	1.07212245
114	1.070129326
115	1.068022207
116	1.067364943
117	1.065513513
118	1.063450326
119	1.061758694
120	1.060818558
121	1.0564816
122	1.053311024
123	1.051369023
124	1.050645568
125	1.046765792
126	1.045356604
127	1.043329636
128	1.041893867
129	1.040993539
130	1.039360026
131	1.038263064
132	1.03433458
133	1.033064816
134	1.030496167
135	1.029097697
136	1.027580352
137	1.026277001
138	1.024502209
139	1.022875137
